Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
FUTBOL,Adidas,PRO,1564383259,$ 249.999,$ 249.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1564383259-botines-predator-pro-para-terreno-firme-ji1196-adidas-_JM?searchVariation=192131241803#polycard_client=search-desktop&searchVariation=192131241803&search_layout=grid&position=2&type=item&tracking_id=fe9690a5-76cf-4d2e-a4c2-fffe4772bf08,2026-03-13,Botines Predator Pro Para Terreno Firme Ji1196 adidas
FUTBOL,Adidas,LEAGUE,2378580604,$ 149.999,$ 149.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2378580604-botines-predator-league-de-cesped-artificial-ji1136-adidas-_JM?searchVariation=185575434592#polycard_client=search-desktop&searchVariation=185575434592&search_layout=grid&position=19&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines Predator League De Césped Artificial Ji1136 adidas
FUTBOL,Adidas,LEAGUE,2378632464,$ 149.999,$ 149.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-2378632464-botines-adidas-futbol-predator-league-pasto-unisex-jq1074-_JM?searchVariation=190956511607#polycard_client=search-desktop&searchVariation=190956511607&search_layout=grid&position=20&type=item&tracking_id=a2c599fb-f543-4e40-8839-6b5e6aa94e01,2026-03-13,Botines adidas Fútbol Predator League Pasto Unisex Jq1074
FUTBOL,Adidas,PRO,2478389076,$ 249.999,$ 249.999,0.0%,3,1,https://articulo.mercadolibre.com.ar/MLA-2478389076-botines-predator-pro-para-pasto-sintetico-ji1185-adidas-_JM?searchVariation=186463014710#polycard_client=search-desktop&searchVariation=186463014710&search_layout=grid&position=4&type=item&tracking_id=fe9690a5-76cf-4d2e-a4c2-fffe4772bf08,2026-03-13,Botines Predator Pro Para Pasto Sintético Ji1185 adidas
FUTBOL,Adidas,PRO,2378619518,$ 249.999,$ 249.999,0.0%,3,2,https://articulo.mercadolibre.com.ar/MLA-2378619518-botines-f50-pro-para-pasto-sintetico-jh7664-adidas-_JM?searchVariation=185575384824#polycard_client=search-desktop&searchVariation=185575384824&search_layout=grid&position=9&type=item&tracking_id=fe9690a5-76cf-4d2e-a4c2-fffe4772bf08,2026-03-13,Botines F50 Pro Para Pasto Sintético Jh7664 adidas
FUTBOL,Adidas,CLUB,1542974729,$ 39.999,$ 39.999,0.0%,0,1,https://articulo.mercadolibre.com.ar/MLA-1542974729-pelota-adidas-futbol-world-cup-26-trionda-club-jd8028-_JM?searchVariation=191145349053#polycard_client=search-desktop&searchVariation=191145349053&search_layout=grid&position=29&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Pelota adidas Fútbol World Cup 26 Trionda Club Jd8028
FUTBOL,Adidas,CLUB,2535890046,$ 64.999,$ 64.999,0.0%,0,5,https://articulo.mercadolibre.com.ar/MLA-2535890046-remera-adidas-tenis-club-climacool-hombre-negro-jg0978-_JM?searchVariation=186802278714#polycard_client=search-desktop&searchVariation=186802278714&search_layout=grid&position=44&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Remera adidas Tenis Club Climacool Hombre Negro Jg0978
FUTBOL,Adidas,CLUB,2413069098,$ 39.999,$ 39.999,0.0%,0,1,https://articulo.mercadolibre.com.ar/MLA-2413069098-pelota-adidas-futbol-world-cup-26-trionda-club-jd8052-_JM?searchVariation=185894514826#polycard_client=search-desktop&searchVariation=185894514826&search_layout=grid&position=54&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Pelota adidas Fútbol World Cup 26 Trionda Club Jd8052
FUTBOL,Adidas,CLUB,2029042502,$ 69.999,$ 69.999,0.0%,0,6,https://articulo.mercadolibre.com.ar/MLA-2029042502-remera-polo-adidas-tenis-club-hombre-blanco-je0412-_JM?searchVariation=183106195698#polycard_client=search-desktop&searchVariation=183106195698&search_layout=grid&position=56&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Remera Polo adidas Tenis Club Hombre Blanco Je0412
FUTBOL,Adidas,CLUB,2584003358,$ 64.999,$ 64.999,0.0%,0,5,https://articulo.mercadolibre.com.ar/MLA-2584003358-chomba-adidas-tenis-club-hombre-negro-jf8506-_JM?searchVariation=187258941142#polycard_client=search-desktop&searchVariation=187258941142&search_layout=grid&position=57&type=item&tracking_id=4875fe0b-ade4-43da-9921-98db40b670df,2026-03-13,Chomba adidas Tenis Club Hombre Negro Jf8506
